,SICK_id,Premise,Hypothesis,Modifier,Premise/Hypothesis/Both,Part of Premise/Hypothesis Modified,Ground Truth,GT,Modifier Type,nli-deberta-v3-base,ynie/roberta-large-snli_mnli_fever_anli_R1_R2_R3-nli,pair-classification-decomposable-attention-elmo,CompressedGT
0,90,a man is jumping into an empty pool,a man is jumping into a full pool,NONE,NONE,NONE,Alternation,Alternation,No Modifiers,Contradiction,Contradiction,FE,Contradiction
1,90,every man is jumping into an empty pool,a man is jumping into a full pool,every,Premise,Subject,Alternation,Alternation,Universal,Contradiction,Contradiction,FE,Contradiction
2,90,a man is jumping into an empty pool,every man is jumping into a full pool,every,Hypothesis,Subject,Negation,Negation,Universal,Contradiction,Contradiction,FE,Contradiction
3,90,every man is jumping into an empty pool,every man is jumping into a full pool,every,Both,Subject,Negation,Negation,Universal,Contradiction,Contradiction,FE,Contradiction
4,90,some man is jumping into an empty pool,a man is jumping into a full pool,some,Premise,Subject,Alternation,Alternation,Existential,Contradiction,Contradiction,FE,Contradiction
5,90,a man is jumping into an empty pool,some man is jumping into a full pool,some,Hypothesis,Subject,Alternation,Alternation,Existential,Contradiction,Contradiction,FE,Contradiction
6,90,some man is jumping into an empty pool,some man is jumping into a full pool,some,Both,Subject,Alternation,Alternation,Existential,Contradiction,Contradiction,FE,Contradiction
7,90,at least man is jumping into an empty pool,a man is jumping into a full pool,at least,Premise,Subject,Alternation,Alternation,Existential,Contradiction,Contradiction,FE,Contradiction
8,90,a man is jumping into an empty pool,at least man is jumping into a full pool,at least,Hypothesis,Subject,Neutral,Neutral,Existential,Contradiction,Contradiction,FE,Neutral
9,90,at least man is jumping into an empty pool,at least man is jumping into a full pool,at least,Both,Subject,Alternation,Alternation,Existential,Contradiction,Contradiction,FE,Contradiction
10,90,not every man is jumping into an empty pool,a man is jumping into a full pool,not every,Premise,Subject,Neutral,Neutral,Negation,Contradiction,RE,FE,Neutral
11,90,a man is jumping into an empty pool,not every man is jumping into a full pool,not every,Hypothesis,Subject,Neutral,Neutral,Negation,FE,Neutral,FE,Neutral
12,90,not every man is jumping into an empty pool,not every man is jumping into a full pool,not every,Both,Subject,Neutral,Neutral,Negation,Contradiction,Contradiction,FE,Neutral
