Sno,SICK_id,Premise,Hypothesis,Modifier,Premise/Hypothesis/Both,Part of Premise/Hypothesis Modified,Modifier Type,"Ground Truth 
(Total 7 Entailment Relations but also Includes multiple labels for some premise, hypothesis )","CompressedGT
(FE, RE, Neutral & Contradiction)"
0,90,a man is jumping into an empty pool,a man is jumping into a full pool,NONE,NONE,NONE,No Modifiers,Alternation,Contradiction
1,90,every man is jumping into an empty pool,a man is jumping into a full pool,every,Premise,Subject,Universal,Alternation,Contradiction
2,90,a man is jumping into an empty pool,every man is jumping into a full pool,every,Hypothesis,Subject,Universal,Negation,Contradiction
3,90,every man is jumping into an empty pool,every man is jumping into a full pool,every,Both,Subject,Universal,Negation,Contradiction
4,90,some man is jumping into an empty pool,a man is jumping into a full pool,some,Premise,Subject,Existential,Alternation,Contradiction
5,90,a man is jumping into an empty pool,some man is jumping into a full pool,some,Hypothesis,Subject,Existential,Alternation,Contradiction
6,90,some man is jumping into an empty pool,some man is jumping into a full pool,some,Both,Subject,Existential,Alternation,Contradiction
7,90,at least man is jumping into an empty pool,a man is jumping into a full pool,at least,Premise,Subject,Existential,Alternation,Contradiction
8,90,a man is jumping into an empty pool,at least man is jumping into a full pool,at least,Hypothesis,Subject,Existential,Neutral,Neutral
9,90,at least man is jumping into an empty pool,at least man is jumping into a full pool,at least,Both,Subject,Existential,Alternation,Contradiction
10,90,not every man is jumping into an empty pool,a man is jumping into a full pool,not every,Premise,Subject,Negation,Neutral,Neutral
11,90,a man is jumping into an empty pool,not every man is jumping into a full pool,not every,Hypothesis,Subject,Negation,Neutral,Neutral
12,90,not every man is jumping into an empty pool,not every man is jumping into a full pool,not every,Both,Subject,Negation,Neutral,Neutral
13,90,exactly one man is jumping into an empty pool,a man is jumping into a full pool,exactly one,Premise,Subject,Existential,Alternation,Contradiction
14,90,a man is jumping into an empty pool,exactly one man is jumping into a full pool,exactly one,Hypothesis,Subject,Existential,Alternation,Contradiction
