Sno,SICK_id,Premise,Premise POS Tags,Hypothesis,Hypothesis POS Tags,SICK label,entailment_AB,entailment_BA,The part of sentence that is different between premise & hypothesis,"Keyword in 
Hypothesis
(Conditioned on)",Monotonocity,Polarity,Difference between premise and hypothesis,Universal set based on Hypothesis & premise,,
1,90,A man is jumping into an empty pool,DT NN VBZ VBG IN DT JJ NN,A man is jumping into a full pool,DT NN VBZ VBG IN DT JJ NN,Contradiction,A_contradicts_B,B_contradicts_A,object,a full pool,,,"Premise: an empty pool, Hypothesis: a full pool","types of pools {a pool is filled, full pool, a pool filled with water, empty pool, pool without any water, half pool}",,
2,116,A player is throwing the ball,DT NN VBZ VBG DT NN,Two teams are competing in a football match,CD NNS VBP VBG IN DT NN NN,Neutral,A_neutral_B,B_neutral_A,none,-,,,No alignment?,,,
3,129,an old man is sitting in a field,DT JJ NN VBZ VBG IN DT NN,a man is sitting in a field,DT NN VBZ VBG IN DT NN,Entailment,A_entails_B,B_neutral_A,subject,old,upward or 1,affirmation or 1,"subject - man . Premise: old man, Hypothesis: a man","All Men {old man, young man, adult man}",,a man is jumping into an empty pool
4,130,A man is sitting in a field,DT NN VBZ VBG IN DT NN,A man is running in a field,DT NN VBZ VBG IN DT NN,Neutral,A_neutral_B,B_neutral_A,verb,running,0,0,"Premise: sitting, Hypothesis: running","running, sitting {run, runs, running, all sets of troponyms of running such as sprinting, jogging etc and synonyms of running, sitting, seated, not running} 
Notes: since running in hypothesis should have been hypernym of the verb in premise or same verb or synonym as in premise",,
5,150,A deer is jumping over a fence,DT NNS VBZ VBG RP DT NN,A deer isn't jumping over the fence,DT NNS VBZ RB VBG RP DT NN,Contradiction,A_contradicts_B,B_contradicts_A,verb,isn't jumping,,,"Premise: is jumping, Hypothesis: isn't jumping","jumping & isn't jumping 
{not jumping, still, not moving, stantionary, fixed, jumping, moving, crossing}",,
6,167,A boy is hitting a baseball,DT NN VBZ VBG DT NN,A child is hitting a baseball,DT NN VBZ VBG DT NN,Entailment,A_entails_B,B_neutral_A,subject,boy/child,upward or 1,affirmation or 1,"Premise: boy, Hypothesis: child","Child {girl, boy, male child, female child, human child} Synonyms: {kid}",,
7,168,A child is hitting a baseball,DT NN VBZ VBG DT NN,A child is missing a baseball,DT NN VBZ VBG DT NN,Contradiction,A_contradicts_B,B_contradicts_A,verb,missing,,,"Premise: hitting, Hypothesis: missing","hitting & missing {missing the ball, missing the shot, hit, hitting, home runs, singles, doubles, miss, runs} but taken from hit/miss context of a game",,
8,211,Two dogs are playing by a tree,CD NNS VBP VBG IN DT NN,Two dogs are playing by a plant,CD NNS VBP VBG IN DT NN,Entailment,A_entails_B,B_entails_A,object,tree/plant,upward or 1,affirmation or 1,"Premise: tree, Hypothesis: plant","Plant {floral, tree}",,
9,212,Two dogs are playing by a tree,CD NNS VBP VBG IN DT NN,Two dogs are sleeping by a tree,CD NNS VBP VBG IN DT NN,Neutral,A_neutral_B,B_neutral_A,verb,sleeping,0,0,"Premise: playing, Hypothesis: sleeping","playing & sleeping {sleep, sleeps, sleeping, all troponyms of sleeping such as nap, napping, hibernate etc and all synonyms, playing, gaming}",,
10,273,A boy is standing in the cold water,DT NN VBZ VBG IN DT JJ NN,A boy is standing in the water,DT NN VBZ VBG IN DT NN,Entailment,A_entails_B,B_neutral_A,object,cold,upward or 1,affirmation or 1,"object - water . Premise: cold water, Hypothesis: water","All types of water {cold water, hot water, warm water, ice water}",,
11,342,A girl with a black bag is on a crowded train,DT NN IN DT JJ NN VBZ IN DT JJ NN,A cramped black train is on the bag of a girl,DT JJ JJ NN VBZ IN DT NN IN DT NN,Neutral,A_neutral_B,B_neutral_A,none,-,0,0,-,,,
12,443,A blond girl is riding the waves,DT JJ NN VBZ VBG DT NNS,A blond girl is looking at the waves,DT JJ NN VBZ VBG IN DT NNS,Neutral,A_neutral_B,B_neutral_A,verb,looking,0,0,"Premise: riding, Hypothesis: looking at","looking at {looking at, loom at, all troponyms of looking at such as contemplate, groak and all synonyms such as view, considering etc}",,
13,455,Two children are hanging on a large branch,CD NNS VBP VBG IN DT JJ NN,Two children are climbing a tree,CD NNS VBP VBG DT NN,Entailment,A_entails_B,B_neutral_A,verb + object,hanging on a large branch /climbing a tree,upward or 1,affirmation or 1,"Premise: hanging on a large branch, Hypothesis: climbing on a tree","Climbing a tree {hanging on a branch, hanging on a large branch, hanging on a small branch, hanging on a branch, climbing the trunk of a tree..., climbing up the tree, climbing down the tree, climbing up the coconut tree, climbing down the coconut tree}",,
14,751,A classroom is full of students,DT NN VBZ JJ IN NNS,A classroom is empty,DT NN VBZ JJ,Contradiction,A_contradicts_B,B_contradicts_A,object,empty,,,"Premise: full of students, Hypothesis: empty","Classroom {no students, without students, zero number of students, with students, full of students, not empty, filled, crowded}",,
15,1131,The turtle is following the fish,DT NN VBZ VBG DT NN,The fish is following the turtle,DT NN VBZ VBG DT NN,Contradiction,A_contradicts_B,B_contradicts_A,"subject, object","fish, turtle",,,"Premise: SUBJ is turtle, OBJ is fish, Hypothesis: SUBJ is fish, OBJ is turtle","{fish following a turtle, fish after a turtle}",,
