7-980	the sun is the source of energy for physical cycles on Earth . plants have life cycles	The sun is responsible for puppies learning new tricks	The sun is responsible for children growing up and getting old	The sun is responsible for flowers wilting in a vase	The sun is responsible for plants sprouting, blooming and wilting	3
7-584	as distance to an object increases , that object will appear smaller . 	When standing miles away from Mount Rushmore the mountains seem very close	When standing miles away from Mount Rushmore the mountains are boring	When standing miles away from Mount Rushmore the mountains look the same as from up close	When standing miles away from Mount Rushmore the mountains seem smaller than in photographs	3
7-870	digestion is when stomach acid breaks down food . deconstructing nutrients is digesting food	When food is reduced in the stomach, the mind needs time to digest	When food is reduced in the stomach, take a second to digest what I said	When food is reduced in the stomach, nutrients are being deconstructed	When food is reduced in the stomach, reader's digest is a body of works	2
7-321	a star is made of gases . stars are billions of miles away	Stars are warm lights that float	Stars are made out of nitrate	Stars are great balls of gas burning billions of miles away	Stars are lights in the sky	2
9-732	Galileo Galilei made improvements to the telescope to make better observations of celestial bodies . You can make a telescope at home.	You can make a telescope with a straw	You can make a telescope with a Glass	You can make a telescope with a Candle	You can make a telescope with a mailing tube	3
9-782	poison causes harm to living things . a tree is a living thing	Poison causes harm to a Tree .	Poison causes harm to a robot .	Poison causes harm to a house .	Poison causes harm to a car .	0
9-87	the colors of the parts of an organism are inherited characteristics . fur is a major colored part on mammals	an inherited characteristic found on all mammals is nails	an inherited characteristic found on all mammals is teeth	an inherited characteristic found on all mammals is shoes	an inherited characteristic found on all mammals is fur	3
155	all living things eliminate waste . robots are not living things	plants does not eliminate waste.	mushrooms does not eliminate waste.	bacteria does not eliminate waste.	robots does not eliminate waste.	3
1046	as a source of light becomes closer , that source will appear brighter . more intense means the lights would appear brighter	As a car approaches you in the night the headlights become more intense	As a car approaches you in the night the headlights recede into the dark	As a car approaches you in the night the headlights remain at a constant	As a car approaches you in the night the headlights turn off	0
7-637	seasons cause change to the environment . the ground warms as seasons change from winter to spring	When the weather changes as it does from Christmas to Easter, the air may chill	When the weather changes as it does from Christmas to Easter, the ground may freeze	When the weather changes as it does from Christmas to Easter, the plants may die	When the weather changes as it does from Christmas to Easter, the ground may warm	3
9-678	detailed observation of celestial objects requires a telescope . Telescopes use mirrors to collect and focus light	Using mirrors to focus collected light from heavenly bodies allows detailed observation	Using mirrors to focus collected light from heavenly bodies allows foregone conclusions	Using mirrors to focus collected light from heavenly bodies allows radiation experiments	Using mirrors to focus collected light from heavenly bodies allows celestial music	0
1591	an animal needs to eat food for nutrients . squirrels are animals	fish will supplement a squirrel's caloric needs.	tree bark will supplement a squirrel's caloric needs.	nuts will supplement a squirrel's caloric needs.	leaves will supplement a squirrel's caloric needs.	2
9-572	as the size of an object appears larger , that object will be observed better . minut defects can only be seen from close up	As you look deeper into a Marbel you can see the future	As you look deeper into a Marbel you can see minut defects	As you look deeper into a Marbel you can see colors	As you look deeper into a Marbel you can see the other side	1
8-72	a body of water is a source of water . When mercury is placed in water, it sinks.	 when mercury is placed in water, it dissolves	 when mercury is placed in water, it sinks	 when mercury is placed in water, it floats	 when mercury is placed in water, it hardens	1
7-235	hawks eat lizards . lizards are reptiles	In the desert, a hawk may enjoy an occasional coyote	In the desert, a hawk may enjoy an occasional reptile	In the desert, a hawk may enjoy an occasional bat	In the desert, a hawk may enjoy an occasional scorpion	1
7-1167	a magnet attracts magnetic metals through magnetism . Belt buckles are magnetic	A magnet will stick to a belt buckle	A magnet will stick to a wooden table	A magnet will stick to a plastic cup	A magnet will stick to a paper plate	0
1834	the amount of daylight is least in the winter . winter begins in December and ends in March	Shorter periods of daylight happen October to December	Shorter periods of daylight happen November to March	Shorter periods of daylight happen December to April	Shorter periods of daylight happen December to March	3
9-872	a compass is a kind of tool for determining direction by pointing north . compasses direct users north	A person is lost in a dense forest, and needs to find their home. They know their home is to the south, and they are headed north. They can find home by using a northern-directing device	A person is lost in a dense forest, and needs to find their home. They know their home is to the south, and they are headed north. They can find home by using a northern light reader	A person is lost in a dense forest, and needs to find their home. They know their home is to the south, and they are headed north. They can find home by using a northeastern winds	A person is lost in a dense forest, and needs to find their home. They know their home is to the south, and they are headed north. They can find home by using a north central credit	0
116	natural gas is a nonrenewable resource . natural gas and other nonrenewable resources are mined out of the ground	You are likely to find a nonrenewable resource in a forest.	You are likely to find a nonrenewable resource in a dam.	You are likely to find a nonrenewable resource in a mine.	You are likely to find a nonrenewable resource in a solar panel.	2
8-81	a flashlight converts chemical energy into light energy . light energy comes from chemical energy in batteries being pushed through wires	A man is searching for his dog in the woods and brings a flashlight. The flashlight has two large batteries in it, which provide light due to wiring	A man is searching for his dog in the woods and brings a flashlight. The flashlight has two large batteries in it, which provide light through plastic	A man is searching for his dog in the woods and brings a flashlight. The flashlight has two large batteries in it, which use light to heat the flashlight	A man is searching for his dog in the woods and brings a flashlight. The flashlight has two large batteries in it, which provide light due to moisture	0
9-404	the summer solstice is on June 21st in the northern hemisphere . upper portion of earth is the northern hemisphere	the summer solstice is on June 21st in the in the south pacific	the summer solstice is on June 21st in the upper portion of earth	the summer solstice is on June 21st in the lower portion of earth	the summer solstice is on June 21st in the the equator near the tropics	1
